DATE,OPEN,HIGH,CLOSE,LOW,VOL,AMOUNT,FACTOR
2010-03-31,30.858,30.997,30.335,30.474,2511151.0,44105980.0,1.742
2010-04-01,30.474,30.753,30.37,30.527,2235933.0,39203916.0,1.742
2010-04-02,30.527,30.718,30.143,30.213,2186006.0,38056092.0,1.742
2010-04-06,30.213,31.101,30.213,30.892,2129923.0,37463708.0,1.742
2010-04-07,30.892,30.91,30.405,30.77,1582433.0,27847720.0,1.742
2010-04-08,30.77,31.642,30.492,31.467,4106485.0,73363624.0,1.742
2010-04-09,31.537,31.624,31.014,31.433,2929652.0,52689932.0,1.742
2010-04-12,31.345,32.042,31.154,31.903,4024607.0,72971064.0,1.742
2010-04-13,31.92,31.973,29.76,30.858,3442000.0,61477280.0,1.742
2010-04-14,30.788,30.788,30.283,30.509,1703171.0,29785376.0,1.742
2010-04-15,30.509,30.875,29.812,30.84,2413715.0,42047456.0,1.742
2010-04-16,30.753,30.805,30.23,30.248,1641640.0,28783290.0,1.742
2010-04-19,29.899,30.248,28.261,28.261,1691300.0,28448888.0,1.742
2010-04-20,28.227,28.244,27.547,28.105,1601843.0,25629388.0,1.742
2010-04-21,28.139,29.08,28.087,28.819,1604129.0,26355234.0,1.742
2010-04-22,28.889,30.666,28.087,30.492,2846519.0,48047760.0,1.742
2010-04-23,30.3,30.579,29.882,30.283,3039213.0,52767368.0,1.742
2010-04-26,30.282,30.282,28.889,28.976,1615645.0,27155888.0,1.742
2010-04-27,28.784,28.802,27.913,28.54,1264990.0,20445124.0,1.742
2010-04-28,28.227,28.592,27.652,28.401,756916.0,12283192.0,1.742
2010-04-29,28.749,28.749,27.617,27.669,697721.0,11296298.0,1.742
2010-04-30,27.652,27.878,25.892,26.449,1158052.0,17879420.0,1.742
2010-05-04,26.432,26.432,25.526,26.083,525792.0,7867116.0,1.742
2010-05-05,26.083,26.955,25.805,26.815,493530.0,7519067.0,1.742
2010-05-06,26.745,27.129,26.38,26.38,804951.0,12311666.0,1.742
2010-05-07,25.787,26.397,25.7,25.944,545836.0,8164301.0,1.742
2010-05-10,25.718,26.101,24.045,25.421,709769.0,10359873.0,1.742
2010-05-11,25.735,26.171,24.811,24.829,745677.0,10963137.0,1.742
2010-05-12,24.829,25.09,23.522,23.783,645821.0,8937499.0,1.742
2010-05-13,24.045,24.358,23.174,24.132,695577.0,9517159.0,1.742
2010-05-14,24.149,24.742,24.045,24.69,820522.0,11479612.0,1.742
2010-05-17,24.254,24.602,23.034,23.034,667551.0,9050149.0,1.742
2010-05-18,22.651,23.174,21.675,22.93,781631.0,10134655.0,1.742
2010-05-19,22.686,23.296,22.215,22.825,592495.0,7725654.0,1.742
2010-05-20,22.32,23.069,22.215,22.233,585857.0,7607555.0,1.742
2010-05-21,21.605,22.372,21.222,22.372,855307.0,10738938.0,1.742
2010-05-24,22.634,23.505,22.477,23.418,1184151.0,15746513.0,1.742
2010-05-25,23.191,23.766,23.191,23.4,1065799.0,14356643.0,1.742
2010-05-26,23.348,23.801,23.296,23.731,825246.0,11166173.0,1.742
2010-05-27,23.853,25.456,23.348,25.439,2126317.0,29858244.0,1.742
2010-05-28,25.439,27.53,25.003,26.815,3515298.0,53360808.0,1.742
2010-05-31,26.292,26.798,25.613,25.752,1413478.0,21224962.0,1.742
2010-06-01,25.212,26.989,25.021,26.554,2447086.0,36833676.0,1.742
2010-06-02,25.996,27.669,25.787,26.902,2528891.0,38997864.0,1.742
2010-06-03,27.007,27.338,26.171,26.362,2426077.0,37278228.0,1.742
2010-06-04,26.327,26.745,25.491,26.031,1751870.0,26217880.0,1.742
2010-06-07,25.439,25.613,24.585,24.968,1340365.0,19290294.0,1.742
2010-06-08,24.968,26.658,24.968,26.502,3688637.0,55285568.0,1.742
2010-06-09,26.658,26.745,25.996,26.397,1490493.0,22569730.0,1.742
2010-06-10,26.449,26.972,26.327,26.397,1314208.0,20108798.0,1.742
2010-06-11,26.449,26.763,25.7,25.7,1006252.0,15053008.0,1.742
2010-06-17,26.066,26.798,25.7,26.066,786936.0,11871839.0,1.742
2010-06-18,25.961,26.258,24.655,24.916,710803.0,10336392.0,1.742
2010-06-21,25.055,25.404,24.045,25.23,688429.0,9836004.0,1.742
2010-06-22,25.264,25.439,25.073,25.212,597501.0,8660439.0,1.742
2010-06-23,24.777,25.508,24.567,24.916,455834.0,6525552.0,1.742
2010-06-24,24.916,25.352,24.916,25.09,353130.0,5079140.0,1.742
2010-06-25,24.637,25.055,24.01,24.08,533100.0,7441821.0,1.742
2010-06-28,24.184,24.184,23.348,23.714,416085.0,5660664.0,1.742
2010-06-29,23.609,23.801,22.093,22.093,631776.0,8218997.0,1.742
2010-06-30,21.588,22.041,21.222,21.605,444280.0,5487627.0,1.742
2010-07-01,21.605,22.18,21.344,21.675,376706.0,4703317.0,1.742
2010-07-02,21.675,22.093,20.926,21.64,824475.0,10268669.0,1.742
2010-07-05,21.64,21.64,20.595,21.118,409367.0,4948727.0,1.742
2010-07-06,21.17,21.762,21.17,21.727,518147.0,6398498.0,1.742
2010-07-07,21.727,22.25,21.187,22.058,557035.0,7004696.0,1.742
2010-07-08,22.024,22.407,21.919,22.128,723207.0,9207758.0,1.742
2010-07-09,22.233,23.313,22.006,22.79,1182322.0,15530755.0,1.742
2010-07-12,22.825,23.296,22.686,22.912,1093957.0,14454619.0,1.742
2010-07-13,22.912,22.999,22.076,22.999,834236.0,10814812.0,1.742
2010-07-14,23.156,23.435,22.755,22.93,703265.0,9282708.0,1.742
2010-07-15,22.93,23.069,22.773,22.93,736434.0,9688145.0,1.742
2010-07-16,22.912,22.999,22.32,22.964,447436.0,5815982.0,1.742
2010-07-19,22.389,23.818,22.389,23.383,754532.0,10112608.0,1.742
2010-07-20,23.261,24.306,23.261,24.045,1654025.0,22638084.0,1.742
2010-07-21,24.045,24.463,23.958,24.08,1671836.0,23211358.0,1.742
2010-07-22,24.184,24.742,23.539,24.567,2855552.0,39789280.0,1.742
2010-07-23,24.533,24.62,24.08,24.289,1591375.0,22262610.0,1.742
2010-07-26,24.393,24.637,23.818,24.289,1199635.0,16695412.0,1.742
2010-07-27,24.358,24.759,24.045,24.463,1246520.0,17502942.0,1.742
2010-07-28,24.48,24.881,24.254,24.724,1340856.0,18932240.0,1.742
2010-07-29,25.247,25.264,24.411,24.689,1541923.0,21900980.0,1.742
2010-07-30,24.707,24.707,24.045,24.376,995283.0,13933057.0,1.742
2010-08-02,24.376,26.083,24.323,26.031,3272099.0,47668956.0,1.742
2010-08-03,25.874,26.954,25.787,26.101,6060563.0,92253504.0,1.742
2010-08-04,25.473,25.926,24.933,25.683,1921564.0,28101302.0,1.742
2010-08-05,25.456,25.874,25.108,25.352,1156573.0,16949296.0,1.742
2010-08-06,25.352,25.787,25.125,25.7,1156349.0,16912830.0,1.742
2010-08-09,25.7,26.467,25.526,26.31,1543037.0,23081996.0,1.742
2010-08-10,26.136,26.275,25.003,25.055,1284306.0,18869068.0,1.742
2010-08-11,25.09,25.352,24.916,25.177,600023.0,8661013.0,1.742
